1000,4853,1000,3571,1000,5642
10000,47439,10000,40923,10000,40890
100000,573038,100000,319716,100000,273138
500000,3290394,500000,1535317,500000,1547431
1000,4261,1000,4421,1000,6905
10000,41966,10000,67301,10000,68135
100000,482888,100000,320196,100000,334453
500000,2428610,500000,1992596,500000,1548464
1000,4351,1000,4297,1000,6867
10000,59545,10000,53236,10000,67287
100000,342792,100000,774117,100000,360072
500000,1802179,500000,1676031,500000,1619732
1000,8071,1000,7708,1000,10037
10000,70998,10000,62638,10000,70502
100000,307407,100000,352041,100000,589939
500000,1921864,500000,1744347,500000,1594237
1000,7608,1000,6043,1000,7933
10000,51323,10000,48897,10000,42444
100000,294080,100000,350469,100000,454090
500000,1478203,500000,1739238,500000,1606879
1000,4568,1000,4460,1000,8621
10000,52349,10000,41680,10000,42830
100000,547613,100000,525721,100000,309781
500000,1439332,500000,1502723,500000,1598872
1000,4474,1000,4324,1000,7052
10000,41006,10000,56597,10000,68568
100000,362947,100000,347878,100000,471072
500000,1632884,500000,1601751,500000,1565277
1000,3548,1000,3617,1000,6062
10000,41259,10000,45230,10000,46482
100000,340725,100000,302247,100000,275120
500000,2335412,500000,2101078,500000,1401040
1000,6556,1000,6651,1000,8427
10000,68928,10000,75249,10000,74444
100000,336501,100000,333517,100000,357376
500000,1532199,500000,1395916,500000,1617880
1000,6402,1000,6170,1000,8296
10000,45990,10000,261026,10000,59606
100000,344921,100000,333117,100000,325802
500000,1797029,500000,1460619,500000,1812505
