1000,3567,1000,7392,1000,8053
10000,34488,10000,56026,10000,52461
100000,409982,100000,427866,100000,390670
500000,1919615,500000,2159156,500000,2161350
1000,8942,1000,7060,1000,9635
10000,53828,10000,70310,10000,96321
100000,748457,100000,451553,100000,547919
500000,2720611,500000,1881705,500000,2089993
1000,9028,1000,7297,1000,9775
10000,95562,10000,70048,10000,73422
100000,464583,100000,732352,100000,556352
500000,2140428,500000,2028698,500000,2139622
1000,12011,1000,11138,1000,14064
10000,93689,10000,82498,10000,95710
100000,566785,100000,419207,100000,447399
500000,2069186,500000,2111381,500000,2124805
1000,12693,1000,9356,1000,9701
10000,190279,10000,71098,10000,72392
100000,395951,100000,399753,100000,448637
500000,2664863,500000,1940811,500000,2616774
1000,8883,1000,10497,1000,12315
10000,65655,10000,52199,10000,55657
100000,763116,100000,432612,100000,430814
500000,2362486,500000,1915919,500000,2023567
1000,9219,1000,7490,1000,9556
10000,53686,10000,77651,10000,70304
100000,463988,100000,485823,100000,603132
500000,2192690,500000,3153070,500000,2002306
1000,7389,1000,6080,1000,9537
10000,45073,10000,58663,10000,58694
100000,442152,100000,413560,100000,382090
500000,2935821,500000,2282038,500000,2118614
1000,10166,1000,8256,1000,11889
10000,91043,10000,93182,10000,251289
100000,467332,100000,446177,100000,774668
500000,1999188,500000,1978755,500000,1897799
1000,11218,1000,8946,1000,10983
10000,56807,10000,60646,10000,91698
100000,474439,100000,669330,100000,398914
500000,2642014,500000,2133365,500000,2070694
