1000,4010,1000,7855,1000,7786
10000,34809,10000,60993,10000,52457
100000,701321,100000,410992,100000,438247
500000,1929434,500000,1991561,500000,2210551
1000,9635,1000,8619,1000,9581
10000,55418,10000,66762,10000,100875
100000,731353,100000,554505,100000,653297
500000,1974847,500000,1961388,500000,2482223
1000,10226,1000,8632,1000,9673
10000,84828,10000,79004,10000,73070
100000,556659,100000,843996,100000,675453
500000,2504377,500000,1953447,500000,2905419
1000,22697,1000,8726,1000,14078
10000,107245,10000,76299,10000,94914
100000,487901,100000,485670,100000,445416
500000,3298472,500000,1985366,500000,2263335
1000,9900,1000,9229,1000,10605
10000,62779,10000,62179,10000,72926
100000,423895,100000,430989,100000,435293
500000,2470285,500000,2443389,500000,2629807
1000,9979,1000,12697,1000,11160
10000,64861,10000,64079,10000,55643
100000,510826,100000,475715,100000,478599
500000,2223450,500000,2039598,500000,2426500
1000,10078,1000,9144,1000,9711
10000,55418,10000,74202,10000,85734
100000,656859,100000,603853,100000,576918
500000,2675883,500000,3002364,500000,2163283
1000,8156,1000,7327,1000,8078
10000,55799,10000,67309,10000,58421
100000,451750,100000,400430,100000,436120
500000,2335111,500000,2787419,500000,2011708
1000,9312,1000,7523,1000,11765
10000,100909,10000,80108,10000,87147
100000,661400,100000,482874,100000,739603
500000,2091391,500000,2140597,500000,2195256
1000,9991,1000,10873,1000,11117
10000,58560,10000,66515,10000,69883
100000,496658,100000,419036,100000,474888
500000,2310745,500000,1890092,500000,2486789
